data_extracao;codigo;nome;ei_creche_parcial;ei_creche_integral;ei_creche;ei_pre_parcial;ei_pre_integral;ei_pre;ef_ciclos_parcial;ef_ciclos_integral;ef_ciclos;ef_eja;ensino_medio;normal_magisterio;profissionalizante;total
2022-05-01 01:40:30.378;5140;5140 EEI JESUS MENINO                                   ;0;35;35;0;23;23;0;0;0;0;0;0;0;58
2022-05-01 01:40:30.379;5141;5141 EEI ABRASCE LOTEAMENTO PAMPA                       ;0;73;73;0;56;56;0;0;0;0;0;0;0;129
2022-05-01 01:40:30.380;5142;5142 IEI CRESCER COM LAZER                              ;0;64;64;0;47;47;0;0;0;0;0;0;0;111
2022-05-01 01:40:30.381;5145;5145 IEI  PRINCESA ISABEL                               ;0;26;26;0;27;27;0;0;0;0;0;0;0;53
2022-05-01 01:40:30.566;5146;5146 EEI CHACRINHA                                      ;0;21;21;0;31;31;0;0;0;0;0;0;0;52
2022-05-01 01:40:30.567;5147;5147 EEI PADRE PEDRO LEONARDI II                        ;0;26;26;0;20;20;0;0;0;0;0;0;0;46
2022-05-01 01:40:30.569;5148;5148 EEI MARISTA MENINO JESUS                           ;0;61;61;0;41;41;0;0;0;0;0;0;0;102
2022-05-01 01:40:30.570;5149;5149 EEI EGIDIO PICCOLI                                 ;0;45;45;0;45;45;0;0;0;0;0;0;0;90
2022-05-01 01:40:30.571;5150;5150 ECEI PE LUIZ PEDROLLO                              ;0;54;54;0;43;43;0;0;0;0;0;0;0;97
2022-05-01 01:40:30.572;5151;5151 EEI BOA VISTA                                      ;0;50;50;0;45;45;0;0;0;0;0;0;0;95
2022-05-01 01:40:30.573;5152;5152 IEI PEQUENO PRINCIPE                               ;0;14;14;0;40;40;0;0;0;0;0;0;0;54
2022-05-01 01:40:30.574;5153;5153 EEI  MEU DENGO                                     ;0;52;52;0;45;45;0;0;0;0;0;0;0;97
2022-05-01 01:40:30.575;5154;5154 IEI MUNDO COLORIDO                                 ;0;42;42;0;39;39;0;0;0;0;0;0;0;81
